Название продукта,Категория продукта,Цена продукта,Город
Pesce Azzurro Тунец в растительном масле 1700 гр ж/б,Рыба,12 800 Т,Алматы
Консервы из форели в собственном соку 260 гр.ст/б,Рыба,0 Т,Алматы
"Икра Красная IKURA Alaska, Кета, 500 гр.",Икра,40 000 Т,Алматы
Икра красная Горбуши Россия 500 гр,Икра,37 500 Т,Алматы
Красная Икра Кеты уп. 200 гр.,Икра,16 000 Т,Алматы
Икра красная Золото Сахалина 360 грамм,Икра,32 000 Т,Алматы
Икра Красная Кета уп. 500 гр,Икра,40 000 Т,Алматы
Икра красная Горбуши Россия 200 гр,Икра,15 000 Т,Алматы
"Икра Красная ""Золото Сахалина"" 500 гр.",Икра,39 000 Т,Алматы
"Икра красная ""Золото Сахалина"" 220 грамм",Икра,17 500 Т,Алматы
"Икра Красная ""Обкомовская"" уп. 200 гр.",Икра,23 500 Т,Алматы
Икра красная Аляска (Кета) 250 гр,Икра,18 490 Т,Алматы
Черная осетровая Икра Premium Russian Caspian 100 гр.,Икра,66 000 Т,Алматы
Russian Caspian Икра черная зернистая осетровая PREMIUM ж/б 250 гр,Икра,176 000 Т,Алматы
"Икра Красная ""Обкомовская"" уп. 140 гр.",Икра,16 200 Т,Алматы
Икра Черная осетровая Fishland 125 гр,Икра,80 000 Т,Алматы
Икра Черная Стерлядь Caspian Caviar 120 гр,Икра,78 000 Т,Алматы
Черная икра осетра Fishland 250 гр,Икра,150 000 Т,Алматы
"Икра красная ""Обкомовская"", уп. 500 гр",Икра,58 000 Т,Алматы
Черная икра Premium Russian Caspian 50 гр,Икра,35 000 Т,Алматы
"Икра Красная ""Обкомовская"", уп. 360 гр.",Икра,43 800 Т,Алматы
Икра Черная Стерлядь Caspian Caviar 50 гр,Икра,32 800 Т,Алматы
"Икра Красная ""Обкомовская"", 95 гр.",Икра,11 200 Т,Алматы
Frosista Икра осетра Калуга 50 гр,Икра,29 500 Т,Алматы
Frosista Икра осетра Калуга 100 гр,Икра,65 000 Т,Алматы
Черная Икра стерлядь Caspian Caviar 230 гр,Икра,155 000 Т,Алматы
Frosista Икра Русского осетра 50 гр,Икра,29 500 Т,Алматы
Frosista Икра осетра Калуга 30 гр,Икра,17 800 Т,Алматы
Frosista Икра осетра Калуга 10 гр,Икра,5 800 Т,Алматы
Frosista Икра осетра и белуги (гибрид) 50 гр,Икра,29 500 Т,Алматы
Frosista Икра Русского осетра 10 гр,Икра,6 000 Т,Алматы
Frosista Икра осетра и белуги (гибрид) 10 гр,Икра,6 000 Т,Алматы
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 10 гр,Икра,6 000 Т,Алматы
Frosista Икра осетра и белуги (гибрид) 100 гр,Икра,65 000 Т,Алматы
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 50 гр,Икра,29 500 Т,Алматы
Икра лососевая ст/б 120 гр  Золото Сахалина,Икра,12 200 Т,Алматы
Frosista Икра осетра и белуги (гибрид) 30 гр,Икра,18 500 Т,Алматы
Frosista Икра Русского осетра 100 гр,Икра,65 000 Т,Алматы
Frosista Икра Русского осетра 30 гр,Икра,17 800 Т,Алматы
Russian Caspian Икра зернистая осетровая Black Gold 50 гр,Икра,38 500 Т,Алматы
Russian Caspian Икра зернистая осетровая Black Gold 100 гр,Икра,69 000 Т,Алматы
Икра Горбуши весовая,Икра,75 000 Т,Алматы
Frosista Икра осетра и белуги (гибрид) 250 гр,Икра,148 000 Т,Алматы
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 100 гр,Икра,65 000 Т,Алматы
Caspian Caviar Икра черная 50 гр (осетр),Икра,32 800 Т,Алматы
Frosista Икра Русского осетра 250 гр,Икра,148 000 Т,Алматы
Икра лососевая ж/б 140 гр Золото Сахалина,Икра,12 600 Т,Алматы
Frosista Икра осетра Калуга 250 гр,Икра,148 000 Т,Алматы
Caspian Caviar Икра черная 250 гр (осетр),Икра,132 000 Т,Алматы
Икра Красная Кета весовая,Икра,80 000 Т,Алматы
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 250 гр,Икра,148 000 Т,Алматы
Russian Caspian Икра зернистая осетровая  PREMIUM ж/б 500 гр,Икра,352 000 Т,Алматы
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 30 гр,Икра,18 500 Т,Алматы
"Прошутто-ди-Парма нарезка слайсами, 100 гр",Мясо,4 500 Т,Алматы
Филе утки Мулард зернового откорма 420 гр,Мясо,6 500 Т,Алматы
Ножка утиная Конфи с/м,Мясо,11 800 Т,Алматы
Прошутто Pata Negra PDO нарезка 100 гр,Мясо,3 990 Т,Алматы
Паштет Пате-Мусс из Фуа-Гра 50% лоток 85 г,Мясо,4 300 Т,Алматы
Печень утиная  Фуа-Гра  Эскалоп,Мясо,46 000 Т,Алматы
Печень утиная Фуа-гра Золото высшего сорта,Мясо,46 000 Т,Алматы
Паштет из утки Rillettes de Canard Classique 120 гр (классик),Мясо,4 600 Т,Алматы
Филе утки Магре золото 300-650 гр/уп,Мясо,13 800 Т,Алматы
Колбаска Пармеджана сыровяленая 120 гр,Мясо,3 800 Т,Алматы
Коппа-ди-Парма нарезка 100 гр/уп,Мясо,3 800 Т,Алматы
Qyzyl Saia Бастурма из конины 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Жая сур ет уп 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Бастурма из говядины 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Ассорти конина сур ет уп 180 гр,Мясо,6 800 Т,Алматы
Qyzyl Saia Грудинка говядина сур ет уп 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Карбонад из говядины сур ет уп 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Шужук сур ет вес ±400 гр,Мясо,17 500 Т,Алматы
Cinco Jotas Хамон Иберико нарезка слайсами 70 гр/уп,Мясо,19 800 Т,Алматы
Qyzyl Saia Жамбас сур ет уп 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Казы сур ет вес ±300 гр,Мясо,18 500 Т,Алматы
Qyzyl Saia Ассорти говядины сур ет уп 180 гр,Мясо,6 800 Т,Алматы
Qyzyl Saia Филе говядины сур ет уп 60 гр,Мясо,2 500 Т,Алматы
Qyzyl Saia Жая сур ет вес ±500 гр,Мясо,19 800 Т,Алматы
Прошутто-ди-Пармо на кости (Пармская ветчина) 30 мес вес 10 - 11 кг,Мясо,25 000 Т,Алматы
Cinco Jotas Лопатка Иберико нарезка слайсами 70 гр/уп,Мясо,15 800 Т,Алматы
Qyzyl Saia Казы в череве сур ет вес ±125 гр,Мясо,29 500 Т,Алматы
