Название продукта,Категория продукта,Цена продукта,Город
Красная Икра Кеты уп. 200 гр.,Икра,16 000 Т,Астана
Икра красная Золото Сахалина 360 грамм,Икра,32 000 Т,Астана
Икра Красная Кета уп. 500 гр,Икра,40 000 Т,Астана
Икра красная Горбуши Россия 200 гр,Икра,15 000 Т,Астана
"Икра Красная ""Золото Сахалина"" 500 гр.",Икра,39 000 Т,Астана
"Икра красная ""Золото Сахалина"" 220 грамм",Икра,17 500 Т,Астана
"Икра Красная ""Обкомовская"" уп. 200 гр.",Икра,23 500 Т,Астана
Икра красная Аляска (Кета) 250 гр,Икра,18 490 Т,Астана
Черная осетровая Икра Premium Russian Caspian 100 гр.,Икра,66 000 Т,Астана
Russian Caspian Икра черная зернистая осетровая PREMIUM ж/б 250 гр,Икра,176 000 Т,Астана
"Икра Красная ""Обкомовская"" уп. 140 гр.",Икра,16 200 Т,Астана
Икра Черная осетровая Fishland 125 гр,Икра,80 000 Т,Астана
Икра Черная Стерлядь Caspian Caviar 120 гр,Икра,78 000 Т,Астана
Черная икра осетра Fishland 250 гр,Икра,150 000 Т,Астана
"Икра красная ""Обкомовская"", уп. 500 гр",Икра,58 000 Т,Астана
Черная икра Premium Russian Caspian 50 гр,Икра,35 000 Т,Астана
"Икра Красная ""Обкомовская"", уп. 360 гр.",Икра,43 800 Т,Астана
Икра Черная Стерлядь Caspian Caviar 50 гр,Икра,32 800 Т,Астана
"Икра Красная ""Обкомовская"", 95 гр.",Икра,11 200 Т,Астана
Frosista Икра осетра Калуга 50 гр,Икра,29 500 Т,Астана
Frosista Икра осетра Калуга 100 гр,Икра,65 000 Т,Астана
Черная Икра стерлядь Caspian Caviar 230 гр,Икра,155 000 Т,Астана
Frosista Икра Русского осетра 50 гр,Икра,29 500 Т,Астана
Frosista Икра осетра Калуга 30 гр,Икра,17 800 Т,Астана
Frosista Икра осетра Калуга 10 гр,Икра,5 800 Т,Астана
Frosista Икра осетра и белуги (гибрид) 50 гр,Икра,29 500 Т,Астана
Frosista Икра Русского осетра 10 гр,Икра,6 000 Т,Астана
Frosista Икра осетра и белуги (гибрид) 10 гр,Икра,6 000 Т,Астана
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 10 гр,Икра,6 000 Т,Астана
Frosista Икра осетра и белуги (гибрид) 100 гр,Икра,65 000 Т,Астана
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 50 гр,Икра,29 500 Т,Астана
Икра лососевая ст/б 120 гр  Золото Сахалина,Икра,12 200 Т,Астана
Frosista Икра осетра и белуги (гибрид) 30 гр,Икра,18 500 Т,Астана
Frosista Икра Русского осетра 100 гр,Икра,65 000 Т,Астана
Frosista Икра Русского осетра 30 гр,Икра,17 800 Т,Астана
Russian Caspian Икра зернистая осетровая Black Gold 50 гр,Икра,38 500 Т,Астана
Russian Caspian Икра зернистая осетровая Black Gold 100 гр,Икра,69 000 Т,Астана
Икра Горбуши весовая,Икра,75 000 Т,Астана
Frosista Икра осетра и белуги (гибрид) 250 гр,Икра,148 000 Т,Астана
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 100 гр,Икра,65 000 Т,Астана
Caspian Caviar Икра черная 50 гр (осетр),Икра,32 800 Т,Астана
Frosista Икра Русского осетра 250 гр,Икра,148 000 Т,Астана
Икра лососевая ж/б 140 гр Золото Сахалина,Икра,12 600 Т,Астана
Frosista Икра осетра Калуга 250 гр,Икра,148 000 Т,Астана
Caspian Caviar Икра черная 250 гр (осетр),Икра,132 000 Т,Астана
Икра Красная Кета весовая,Икра,80 000 Т,Астана
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 250 гр,Икра,148 000 Т,Астана
Russian Caspian Икра зернистая осетровая  PREMIUM ж/б 500 гр,Икра,352 000 Т,Астана
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 30 гр,Икра,18 500 Т,Астана
"Прошутто-ди-Парма нарезка слайсами, 100 гр",Мясо,4 500 Т,Астана
Филе утки Мулард зернового откорма 420 гр,Мясо,6 500 Т,Астана
Ножка утиная Конфи с/м,Мясо,11 800 Т,Астана
Прошутто Pata Negra PDO нарезка 100 гр,Мясо,3 990 Т,Астана
Паштет Пате-Мусс из Фуа-Гра 50% лоток 85 г,Мясо,4 300 Т,Астана
Печень утиная  Фуа-Гра  Эскалоп,Мясо,46 000 Т,Астана
Печень утиная Фуа-гра Золото высшего сорта,Мясо,46 000 Т,Астана
Паштет из утки Rillettes de Canard Classique 120 гр (классик),Мясо,4 600 Т,Астана
Филе утки Магре золото 300-650 гр/уп,Мясо,13 800 Т,Астана
Колбаска Пармеджана сыровяленая 120 гр,Мясо,3 800 Т,Астана
Коппа-ди-Парма нарезка 100 гр/уп,Мясо,3 800 Т,Астана
